"","Lon","Lat","Timestamp","bias","std","MSE","Cov","Z"
"25",-82.5844,35.6062,2020-05-05 00:00:00,-14.7198830550106,9.89811184730094,314.647575294866,1,1000
"188",-80.342,36.026,2020-05-05 00:00:00,0.233972231683161,8.06060462172641,65.0280898729959,1,1000
"354",-78.8197,35.8652,2020-05-05 00:00:00,-0.582374866436237,8.42013131241674,71.2377718033975,1,1000
"251",-82.5844,35.6062,2020-05-05 00:00:00,-16.8611293351155,11.6753812543356,420.612209889583,1,5
"1881",-80.342,36.026,2020-05-05 00:00:00,0.97533925700147,10.1407387269714,103.785868594946,1,5
"3541",-78.8197,35.8652,2020-05-05 00:00:00,-0.33235663045925,10.2596314724999,105.37049888132,1,5
"252",-82.5844,35.6062,2020-05-05 00:00:00,-16.8503215101506,11.7233843765006,421.371076234624,1,4
"1882",-80.342,36.026,2020-05-05 00:00:00,0.709486758555836,9.95425315011528,99.590527237146,1,4
"3542",-78.8197,35.8652,2020-05-05 00:00:00,-0.120784020863899,10.1685337858907,103.413668134497,1,4
"253",-82.5844,35.6062,2020-05-05 00:00:00,-3.34599831448336,4.0529785853144,27.6223401335426,1,3
"1883",-80.342,36.026,2020-05-05 00:00:00,0.907717799870414,2.98741703752773,9.74861216031255,1,3
"3543",-78.8197,35.8652,2020-05-05 00:00:00,-1.05302463667671,3.18801413736836,11.2722950255087,1,3
"254",-82.5844,35.6062,2020-05-05 00:00:00,-3.56526698083175,3.93290991432432,28.1789090387997,1,2
"1884",-80.342,36.026,2020-05-05 00:00:00,0.821058120612786,3.11313233811793,10.3657293920598,1,2
"3544",-78.8197,35.8652,2020-05-05 00:00:00,-1.09659965638973,3.1846398528092,11.3444617984947,1,2
"255",-82.5844,35.6062,2020-05-05 00:00:00,-3.19436506965937,4.05701820533725,26.6633649166978,1,1
"1885",-80.342,36.026,2020-05-05 00:00:00,0.857311623983032,3.12984632431137,10.5309212344218,1,1
"3545",-78.8197,35.8652,2020-05-05 00:00:00,-1.18342475907964,3.25557108956917,11.9992372796413,1,1
"118",-80.851473,35.281791,2020-05-05 01:00:00,-9.21291845844735,5.42315266831372,114.288451385838,1,1000
"189",-80.342,36.026,2020-05-05 01:00:00,2.55565826243273,5.34166525212069,35.0647768200543,1,1000
"1181",-80.851473,35.281791,2020-05-05 01:00:00,-8.92866342662244,5.79093134088425,113.255916380741,1,5
"1891",-80.342,36.026,2020-05-05 01:00:00,2.52640369045008,5.48818208442207,36.5028581988911,1,5
"1182",-80.851473,35.281791,2020-05-05 01:00:00,-9.22308470566434,5.90874162947799,119.978519131786,1,4
"1892",-80.342,36.026,2020-05-05 01:00:00,2.33126173295987,5.76588051835378,38.6801594194948,1,4
"1183",-80.851473,35.281791,2020-05-05 01:00:00,-8.9727748090684,5.71104010679222,113.126666875642,1,3
"1893",-80.342,36.026,2020-05-05 01:00:00,2.43308230887959,5.75263092203122,39.0126520468927,1,3
"1184",-80.851473,35.281791,2020-05-05 01:00:00,-3.42572235981908,4.2265173532556,29.5990226239352,1,2
"1894",-80.342,36.026,2020-05-05 01:00:00,2.21876509669125,4.06874882833073,21.477635582338,1,2
"1185",-80.851473,35.281791,2020-05-05 01:00:00,-2.96576014107193,3.05062434653195,18.1020421180244,1,1
"1895",-80.342,36.026,2020-05-05 01:00:00,3.11136578238879,2.95103402021422,18.3891988202815,1,1
"26",-82.5844,35.6062,2020-05-05 02:00:00,-4.32353264660956,2.52798170461501,25.0836260451669,1,1000
"119",-80.851473,35.281791,2020-05-05 02:00:00,0.939933664553058,2.55506038323707,7.4118088557477,1,1000
"190",-80.342,36.026,2020-05-05 02:00:00,3.14777825182661,2.29114128901064,15.1578363288819,1,1000
"355",-78.8197,35.8652,2020-05-05 02:00:00,1.59096273716338,2.5283707170323,8.9238209137888,1,1000
"261",-82.5844,35.6062,2020-05-05 02:00:00,-5.56316616027469,3.10376355477537,40.5821659307773,1,5
"1191",-80.851473,35.281791,2020-05-05 02:00:00,0.1123177903859,2.89935138419795,8.41885373508773,1,5
"1901",-80.342,36.026,2020-05-05 02:00:00,3.29673663304483,2.89277139733527,19.2365987849008,1,5
"3551",-78.8197,35.8652,2020-05-05 02:00:00,1.62003718849079,3.14525833657892,12.5171704959124,1,5
"262",-82.5844,35.6062,2020-05-05 02:00:00,-5.59891700885456,3.13943019804376,41.20389364043,1,4
"1192",-80.851473,35.281791,2020-05-05 02:00:00,0.152358089660913,2.92788205834854,8.59570633508438,1,4
"1902",-80.342,36.026,2020-05-05 02:00:00,3.2559677209592,2.88348819144539,18.9158299501333,1,4
"3552",-78.8197,35.8652,2020-05-05 02:00:00,1.86413500091477,3.26542436274319,14.1379955704323,1,4
"263",-82.5844,35.6062,2020-05-05 02:00:00,-5.73427088565037,3.10424504873371,42.5181999126053,1,3
"1193",-80.851473,35.281791,2020-05-05 02:00:00,-0.11665573159442,3.04866467838177,9.30796488092644,1,3
"1903",-80.342,36.026,2020-05-05 02:00:00,3.21368793234118,3.04415068909225,19.5946435443761,1,3
"3553",-78.8197,35.8652,2020-05-05 02:00:00,1.60467477899019,3.28696266532335,13.3791047095568,1,3
"264",-82.5844,35.6062,2020-05-05 02:00:00,-4.05879148322774,2.40672277735755,22.2661028313736,1,2
"1194",-80.851473,35.281791,2020-05-05 02:00:00,2.77599947105693,2.52073548072962,14.0602804271176,1,2
"1904",-80.342,36.026,2020-05-05 02:00:00,3.35768797698504,2.35906782898834,16.8392695725576,1,2
"3554",-78.8197,35.8652,2020-05-05 02:00:00,2.25710527837931,2.50952957430761,11.3922629220123,1,2
"265",-82.5844,35.6062,2020-05-05 02:00:00,-3.71851854313716,2.45991608815909,19.8785673164388,1,1
